row_number,problem_description,current_ai_primary,audit_status,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,audit_justification
361,Worker's Comp claim denied by SAIF. Want to file for an appeal. I contacted the Ombudsman Injured workers and they advised I find an attorney. I don't know any attorneys and am hoping for referral .,Workers' Comp / State,primary audit,supported,supported,yes,one_label_sufficient,Workers' Comp / State,,A denied SAIF workers’ comp claim with intended appeal is squarely Workers' Comp | State.
362,I have a pending workers comp claim for a second degree burn and want some further advice if theres any more action I should be taking. I was also in the works of transitioning jobs before the injury occurred and need some info on if it will affect my claim. Thanks.,Workers' Comp / State,primary audit,supported,supported,yes,one_label_sufficient,Workers' Comp / State,,This is a straightforward state workers’ compensation benefits/claim management question; no separate non-workers-comp issue is described.
363,"i was injured at work and an Workers Comp case was opened. I am now at the place in my healing that i am feeling my injury will not get any better and would like to consider settling the claim. Before i speak with SAIF regarding this, i wanted to consult an attorney.",Workers' Comp / State,primary audit,supported,supported,yes,one_label_sufficient,Workers' Comp / State,,The dispute and requested service are about settling a workers’ comp claim; no other legal domain is supported.
364,"I have a workers comp claim against Northstar Warehouse. I was originally assigned Vernon and Associates, however, due to my inability to hear clearly over the phone and their refusal to communicate with me in any other manner despite repeated attempts I was released. I need a workers comp attorney that understands that I cannot always hear over the phone and is willing to communicate with me.",Workers' Comp / State,primary audit,supported,supported,yes,one_label_sufficient,Workers' Comp / State,,Primary issue is representation in a state workers’ compensation claim; accessibility preference does not create a separate legal category.
365,"My landlord is refusing to fix a sewer leak issue, along with standing water under my home that is causing mold, and rodents that were living in my vents. Now she's trying to say it's my fault and I need to pay for everything, even though they are admitting the issues and know what's going on, as they are trying to get the builders the fix the issues. They keep lying to me and now for over 2 weeks I've had terrible sewer leaks they won't fix or even entertain. They said those leaks have fixed themselves all on their own, and they can't be leaking anymore.",Real Property / Tenant (Residential),two labels supported,supported,supported,yes,two_labels_supported,Real Property / Tenant (Residential),General Litigation / Mold Claims,Tenant-landlord repair/habitability dispute clearly fits Tenant (Residential). The explicit mention of mold supports a distinct mold-claim litigation angle in addition to routine repair dispute.
366,"My daughter leased an apt with Herons Village 10 months in advance. Two months later, she dropped out of school and changed her plans. We notified Herons Village only to be told they cannot let her out of the lease. She has to find a replacement. But the fair housing laws also state that they are required to try to fill the vacancy. While they are actively recruiting for people all the time, they have assured her that it is her sole responsiblity to fill the vacancy. We are so far unable to fill it. We would like to put this behind us, but we can't. To make matters worse, I've heard from others, and read reviews that Herons Village is not a nice place to live. So, despite the fact that we gave them 7 months notice before actual move in date, we are currently stuck with a $11,000 lease. What can we do? The only leg I feel we have to stand on is that they are required to search for her, and they are clearly not doing that.",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,This is a residential tenant lease/termination and mitigation issue; no separate category is better supported.
367,"Hello, Here is the information, I have been served with an eviction notice with numerous months of non payment, for several reason in which i won't go into detail at this time , until i have met with a lawyer.Iam currently unable to work.It is very important that i find a reputable legal aid lawyer. This is an urgent request in which in hope it will be resolved soon.I have a family emergency which is a life threatening illness to attend to which will require me to go out of state to relocate as soon as possible due to my situation please contact me at your earliest opportunity.Thank you",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,Eviction/nonpayment is squarely a residential landlord-tenant matter; other personal circumstances don’t add another legal issue.
368,"I have a signed contract with a roofing company to replace my roof, they did not do the roof, but they took $13,000 from me, and have now closed their business. I would like to file something to get my money back, I thought this was a small claims issue, but then I saw the maximum for small claims is $10,000. So, I need an attorney to help me get my money back, I'm not sure what type, maybe a breach of contract lawyer, but again, I do not know. I look forward to speaking with someone. Thank you!",Real Property / Construction/Contractors,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Construction/Contractors,General Litigation / General Litigation,The core is contractor nonperformance on a home improvement contract (Construction/Contractors). The request to pursue recovery outside small claims supports an additional general civil-litigation need.
369,"I am disabled as are my 2 daughters. We are being evicted and have nowhere to go. My husband left us with nothing, and I am still awaiting my SSI determination. We don’t know what to do. Please advise.",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,"Although disability and SSI are mentioned, the legal problem presented is eviction as a residential tenant; no explicit benefits denial/appeal facts are provided."
370,1) Real Estate we recently purchased a home and we're lied to about what was included. 2) We need help figuring out our water rights on the property we purchase we were told 2 people have a easement to a water pipe going through the property however we were never shown an easement and we have k lines attached to this pipe.,Real Property / Water Law,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Water Law,Real Property / General (residential),"Water rights/easement dispute is directly stated and fits Water Law. Separate from that, they describe misrepresentations in the home purchase, supporting an additional residential real estate issue."
371,I believe that I am being discriminated against by my Landlord for having children one of which has a disability. I have received multiple violations and am now being threatened with an eviction. I need help fighting this because my Landlord is making it a point to make my children and I feel very unsafe and uncomfortable living in our own home.,Real Property / Tenant (Residential),two labels supported,supported,needs_change,yes,two_labels_supported,General Litigation / Civil Rights,Real Property / Tenant (Residential),"The current primary (Tenant Residential) is partially relevant, but the central claim is housing discrimination (familial status/disability), which aligns more directly with Civil Rights; tenancy context supports a second label."
372,I have a long term ttenant who is breaking their lease early. I have some questions around returning a security deposit and how to handle rent.,Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,Current primary fits: landlord questions about early termination and security deposit/rent are residential landlord issues. No distinct second legal issue stated.
373,"I have hired a contractor and I am having several issues with him. I am seeking a consultation with a construction attorney to ask about what my options are. The issues are: 1) he told us he had a team but instead is doing it incredibly slowly by himself. 2) He is often not showing up and is lying to us about when he is going to show up. 3) He implied that he would be subcontracting to a licensed electrician to replace our electrical, but is now saying he is going to do it by himself. We also want to get information on how best to speak with him about all of this.",Real Property / Construction/Contractors,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Construction/Contractors,,Current primary fits: dispute with a contractor over workmanship/performance and licensing representations. No separate additional category is clearly requested.
374,"My wife is a travel nurse in contract at Alderstone University Hospital since January. We travel in our RV. We were staying at Silver Hills Mobile Terrace and RV Park since January. On Monday, July 8th, another resident of the RV shot 4 times at our RV, causing damage to the slide out and breaking a window. Myself and my 3 children were at home when the shooting occurred, and my wife was at work. She had to leave work to come home due to the incident. We were evicted from the RV Park the following day per the manager, with a 24 hr notice to vacate, without warning. We found out a few days later that the manager of The RV park has been having issues with the tenant that shot us, he and another person were known felons, and had been causing disorderly conduct for the past month with several attempts to evict hem. I believe I was not provided a safe place to live, and was wrongly evicted.",Real Property / Mobile Home (Tenant/Owner),two labels supported,supported,supported,yes,two_labels_supported,Real Property / Mobile Home (Tenant/Owner),General Litigation / Property Damage,Current primary is supported by the wrongful eviction/safety allegations in an RV park setting. A second distinct issue is also described: property damage from the shooting.
375,I have a tenant to got kicked off hard and as of July 24th. They no longer have A. Their rental agreement was terminated between me and them. Because hood kicked him off and I need them to be evicted I already served my Thursday. Notice a a week ago,Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,"Although the text is unclear/typo-heavy, the core request is landlord-side eviction after termination and notice. No clearly separate second legal issue."
376,I’m a landlord in Portland trying to convict a tenant. My tenant hasn’t paid rent for 3 months.,Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,Current primary is directly supported: landlord pursuing eviction for nonpayment.
377,"I live in a Manufactured Home Park for ages 55 and over. There are issues with a creek and embankment erosion behind where 28 homes are located (including mine). Company owning the park has purchased more than 20 of the homes and indicated buyouts of Fair Market Value. The work on the creek side will requires homes to be removed/demolished. Work will be done in three Phases. Mine is newer home and in Phase 2. I wanted them to purchase it now so I could purchase a new home that the company owns and is located on the other side of community. They purchased a home in Phase 3 in April so owner could move. After 2+ months of corresponding with them on an offer, they told me they wouldn't purchase mine as ""It's not needed yet"". Home cannot be sold to outside buyer because of the creek erosion issues already being permitted through Josephine County to begin next year. What is my recourse? Would need info from lawyer familiar with Manufactured Home Laws, Seniors, etc.",Real Property / Mobile Home (Tenant/Owner),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Mobile Home (Tenant/Owner),,"Current primary fits the described manufactured home park situation and requested advice. No distinct second legal issue (e.g., zoning, condemnation) is clearly framed as a separate dispute."
378,recently i bought home and after the disclosure i found out the thing i request from my agent not done and know going to cost more $2000 and even the inspection not mention that at his report . I trying to contact my agent and seller agent but both of them not response on me. other thing seller agent was very rude and he is profile me as I don't speak and understand English in other hand was nice when i contact him and he gave me tour and deal to do some repair. I want to meet with lawyer for any advise.,Real Property / General (residential),two labels supported,supported,supported,yes,two_labels_supported,Real Property / General (residential),General Litigation / Civil Rights,"Primary label is supported by the post-purchase disclosure/inspection/agent issues. A second label is only weakly supported: profiling allegation could implicate discrimination, but facts are limited."
379,"Landlord called me Thursday July 10, 2024 at 2:24 pm told me : ""I was walking around property doing patio inspections ( important to note, all annual inspections completed the day before this. ) and I noticed your a/c in your window. I did not recieve any invoice, receipt or letter from a professional installer showing that you had someone do a professional install for safety to make sure it does not fall ya know?: "" No, I do not know. My unit is not required to have professional install, the lease provisions do not require this, ( attached if allowed) there are stop braces under the unit to prevent the unit from being out of window more than about 4 inches. It is made to NOT be allowed to fall out of window. I used the same a/c in same window for 2 seasons now. The owners even measured, then purchased Plexiglas inserts for the residents using these a/c window units. If this is not an expression of implied consent, I would say it is, very much so. My 3rd floor apartment has other exit",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,Current primary fits: tenant-side conflict over lease terms/landlord demands. No additional distinct legal issue is clearly presented.
380,"My landlord is filing for eviction against me and my family we moved in in November at a rate of 1125 dollars a month. We have an extensive list of things that are wrong with the house that were there prior to us moving in such as the front door not staying shut or locking, some of the electrical outlets spark when we try to use them and other electrical problems as well as quite a few other issues. My landlord also attempted to raise the rent in February from 1125 to 1500 then tried in May for 1800 and again this month to 2100. We have been asking for months for things to get fixed but he won't do it or expects me to do it. He also comes over frequently without a 24 hour notice is trying to force us to let him have his cows and ship in the yard so they'll eat the grass and is also trying to force me to work for him. We also suspect he doesn't have a renters license. The basis for the eviction is non payment of rent.",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,Current primary is supported: eviction and multiple tenant-rights issues are central. Employment coercion is mentioned but not developed as a distinct employment-law claim.
381,"Tenant eviction. We own the house next door, and our tenants have not paid their rent since April. We have filed a Residential Eviction Complaint and Summons with Klamath County and had them served to the tenants. We have a First Court Appearance set for Monday, August 12th.",Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,Current primary is directly supported: landlord pursuing eviction with court timeline. No separate legal issue stated.
382,Ex-Tennant seems to be implying he is going to sue because he's not getting his security deposit back. He was a smoker both inside and outside the property and saturated the room with smoke smell as well as a lingering scent in the house. The rental agreement specified no smoking on the premises. I used his $800 deposit towards carpet cleaning and duct cleaning for the smoke which cost $939 for services relevant to the smoke removal. There are other weird circumstances around his leaving but need to make sure I did everything right.,Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,Issue is a landlord-tenant dispute about security deposit deductions after move-out; no separate legal domain is clearly implicated.
383,"I received a letter of eviction, they refused mediation, 3 of other ORS codes are not valid, they will not talk to me, I work for the Owner of the property. Now they are stating that I am not in violation, BUT The letter is still in my file, and I am still not able to talk to the property management team who have violated my renters rights.",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,Core problem is residential tenant eviction/rights dispute; no distinct second legal service is requested beyond landlord-tenant help.
384,"A specific real estate property situation in which we are deciding if it would be more beneficial to transfer ownership a property or put it in a trust. Must be experienced with disabled veterans (for questions related to property taxes and VA construction loan.) Questions would be about property transfer, trusts, tax liability, and possibly the terms of a VA construction loan.",Wills & Trusts / Living Trusts,two labels supported,needs_change,needs_change,no,two_labels_supported,"Wills & Trusts / General (Wills, Trusts, Estates)","Real Property / Government Loans (VA,FHA,Etc.)","This is not specifically about creating a living trust; it’s broader trust/ownership transfer planning, plus a distinct VA construction loan component."
385,"I need to break my lease 3 months earlier than when it’s due to resign. I wanted to know best practices, maybe legal advice on how to go about it so I don’t get sued, or have to pay the money that I would should the landlord decide she wants to charge me the money. In my lease it states I can be charged 2.5x what our rent is, so I want to avoid paying that at all costs because it is a large amount that I simply can not afford",Real Property / Tenant (Residential),primary audit,supported,supported,yes,one_label_sufficient,Real Property / Tenant (Residential),,Pure residential tenant lease-termination issue; no additional separate legal topic is supported.
386,"We hired a contractor to replace 3 showers in our home. We paid him 1/2 down as requested. Upon installing the tub and tile in the main bath, we paid him another 1/4 as requested. The job looks like an amateur did it. When we pointed out the issues, he said he'd take care of it and went on to gut the master shower. Discovering dry rot in the floor, shower work stopped to address the floor. He was last here to work on 7/9/24. Nothing is finished and he has $17,015 of our money.",Real Property / Construction/Contractors,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Construction/Contractors,,Facts squarely match homeowner-contractor dispute over residential remodel performance and payment.
387,"Ongoing harassment from next door neighbor. I was bear sprayed through a hole he cut in the fence. He harrassed 11 y.o. daughter. My wife believes she was shot at with a pellet gun. Sprayed chemicals to kill plants on my property. Threatened delivery workers with violence. He has cut peepholes in the fence and established cameras pointing into our yard and windows. 3 plus neighbors have similar stories and they have all told me that previous owners have moved because of this neighbor and his aggressive actions. We want to enjoy our home, but he finds joy in making life miserable for us and fearful of our young children’s safety. He has said “I’ll never stop watching you”",General Litigation / Neighbor Disputes/Nuisance,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Neighbor Disputes/Nuisance,General Litigation / Stalking Orders,The situation supports both a civil neighbor/nuisance dispute and a distinct requestable remedy of a stalking-type protective order based on repeated harassment and monitoring.
388,I own 50% of commercial property with my brother and he would like to buy me out of my half. I don't have a lease agreement for the current tenant (my brother’s business) He is making improvements to the property without consulting me and is then expecting me to pay for half of the improvements. The commercial property was gifted to us by our mother 2 years after our father passed away. What are my responsibilities regarding the property? How do I get a lease agreement to cover the time before I sell the property to my brother? The value of the property was assessed following my father's death and my brother had it reassessed shortly before we took ownership. The property appeared to decrease in value significantly after the 2nd assessment and I feel like I need to protect myself moving forward with the sale. My brother doesn't believe I should have been given any part of the property and is behaving accordingly. I'm looking for advice on how to advocate for myself in this situation.,Real Property / General (Commercial),primary audit,supported,supported,yes,one_label_sufficient,Real Property / General (Commercial),,"Central issues are commercial real estate co-ownership, leasing, and sale/buyout terms; no distinct second category is clearly required."
389,"I'm trying to get rid of a tenant that has been verbally and physically abusive to me. Also, he hasn't paid his rent for three months. I gave him an eviction notice and we went to court where the judge dismissed the case quick based on ORS90.391- something about not giving him information on assistance to veterans, which is crazy because he is not a veteran!",Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,This is landlord-side residential eviction procedure and compliance with ORS notice requirements; abuse context supports eviction but doesn’t add a separate legal domain.
390,"My partner and I have a residential contractor working on a remodel of part of our house. The project is in its 10th month, and was expected to take less than 4. The contractor is attempting to collect a payment that will bring the total collected up to approximately 95% of the total of the the contract, and we are not yet sure if the project will pass the final permit inspections. I am concerned the contractor may not make any necessary corrections following the inspection if we pay what he has billed, as the outstanding remainder will be a comparatively small amount that he might be willing to abandon. This would leave us with an un-permitted part of the house. The contractor has given us reasons to mistrust him, has demonstrated neglect and potential malfeasance, and has a license number that is associated with at least one expired building permit. I seek legal advice on how I can ensure the contractor finishes the project.",Real Property / Construction/Contractors,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Construction/Contractors,,"Core issue is contractor performance/payment and completion to permit/inspection standards, fitting construction/contractor dispute."
391,"A contractor lied about having a plumbing license and flooded my place twice. He has general contractor license not a plumbing license. I have gone through insurance claim (declined due to him not being a plumber), and CCB mediation (he refused to participate). Seems like my last option is go legal route to go after his bond for the house repair compensation. Would like to know what route will make the most sense for my financial compensation. Circuit court with lawyer fee vs Small claim court with not larger than $10K compensation. My estimate of damage caused by him is about $18K.",Real Property / Construction/Contractors,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Construction/Contractors,Consumer Law / Small Claims Advice,"Primary dispute is against a contractor for defective/unauthorized work and damages; additionally, they specifically request guidance on pursuing small claims versus higher court."
392,"I am a small time landlord with two sixplexes in Portland. Recently, one of my studios came available. The studio is my smallest at 400 sq feet. We had someone tour the studio and showed a lot of interest. However, it would be a husband and wife and their 3 year old daughter. I think this is too many people for such a small space and would result in a lot of wear and tear and a lot of water use (I pay the water). Am I allowed to refuse their application?",Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,This is a landlord-side tenant screening/occupancy question in a residential rental context; no distinct additional legal service is requested.
393,"Suing for a refund of $124,000 due to a breach of contract of a contractor who promised to provide ""gut to studs""-type renovation services for a 1,730 sq. ft., 2-story home. The contracts we signed, and have paid for, total $179,000, but the work is only 20% finished after 13 months of continual delays. Contractor refused to attend mediation; his attorney promised another ""work schedule"" on 9-17-24, due by 9-27-24, but no information has been received as of this writing. We do not want this contractor to proceed because he is a crook, and we need our money refunded so we can continue with the project. The contractor has refused to do so and insists on going forward with yet another ""work schedule"". The Oregon Construction Contractors Board letter dated 9-18-24 states that we must file a court action within 30 days of their letter, or their file of our complaint will be closed. Please advise our next steps. Thanks you",Real Property / Construction/Contractors,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Construction/Contractors,,"The core issue is a residential construction contract dispute with a contractor (performance, delays, refund), fitting the construction/contractors real property category."
394,"I owed IRS $259,123.00 because I withdrew all of my IRA accounts due to a scam on the internet. The scammers posed as Apple tech support and Fidelity Senior Fraud analyst instructed me to close all of my accounts and deposit them to secure separate accounts where the hackers cannot reach. After they can revalidate my identity then I can move the money back . I did not receive a penny from the scammers. I heard from a representative from IRS today informing me the balance due on my Federal tax return is now $286,627.63. I desperately need a tax attorney that can help me reduce taxes owed because I do not have any income besides our social security payments.",Taxation / Personal Income,primary audit,supported,supported,yes,one_label_sufficient,Taxation / Personal Income,,"Although the withdrawals relate to an internet scam, the requested service is tax representation/relief regarding personal federal income tax owed."
395,"I have been paying on back taxes for the years 2006-2008 from the state of OR for years and am not coming close to paying it off. . I have not lived in OR since 2010. I still owe $11,000 and do not see myself ever paying it off. I need professional help to see what my options are.  Cant they forgive the debt? Thank you.",Taxation / Personal Income,primary audit,supported,supported,yes,one_label_sufficient,Taxation / Personal Income,,"This is a dispute/relief request regarding personal state tax debt, not a general consumer debt collection matter."
396,I owe taxes to Canada from my time working there over 10 years ago and need assistance in seeing if I can dispute them or remove the interest requirements. Also curious about their statute of limitations.,International Law / Taxation,primary audit,supported,supported,yes,one_label_sufficient,International Law / Taxation,,"The tax issue is with a foreign country (Canada), squarely fitting international taxation."
397,I need a tax attorney I need someone to help me review submitted tax documents on my tax account (old) and cross reference review my ssdi statements and to read instructions on what i need to fill out to sort and what provisions that may or may not be submitted by me. Someone has tried to to submit tax documents in my name before in an attempt to steal my benefits i have just WON my disability case I will be receiving SSDI and SSI back pay I have several concerns about already submitted documents and corrections that need to be made basically i need help submitting irs tax forms to irs so i can respond to my taxes and get my benefits paid directly to me while making sure everything is correct. Please call me with any questions I need help ASAP background verification is required I will pay hourly or daily and out of pocket cash or check. I will pay right away I really need help by someone who can help me with taxes,Taxation / Personal Income,two labels supported,supported,needs_change,yes,two_labels_supported,Consumer Law / Identity Theft,Taxation / Personal Income,"The narrative centers on fraudulent filings in the user’s name (identity theft), with a secondary but distinct request for tax-form/IRS-account assistance; thus the current single tax label is incomplete."
398,Need to get an Estate Will created for my 80 Mother. She currently doesn't have one.,"Wills & Trusts / General (Wills, Trusts, Estates)",primary audit,supported,supported,yes,one_label_sufficient,"Wills & Trusts / General (Wills, Trusts, Estates)",,This is straightforward estate planning (drafting a will).
399,Need legal advise regarding a trustee who has breached their fiduciary duty. Possible elder financial abuse. Also is there a statue of limitation on when I need to file a complaint?,Wills & Trusts / Litigation,two labels supported,supported,supported,yes,two_labels_supported,Wills & Trusts / Litigation,Wills & Trusts / Elder Abuse,Trustee breach/fiduciary-duty allegations fit W&T litigation; the text also expressly raises elder financial abuse as a distinct concern.
400,"I need information on setting up a special needs trust that will meet SSI rules. I currently have POA for a 24 yr old female with developmental disabilities whose mother recently passed. She does have one IRA that has approximately $160K that she is receiving a monthly distribution of approx $1100 gross. When the estate finishes through probate, there will be more funds. I am trying to protect her future from her older siblings who have abused her financially in the past.",Wills & Trusts / Special Needs/Inc. Cap Trusts,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Special Needs/Inc. Cap Trusts,,This is classic special needs trust planning to preserve SSI/Medicaid eligibility.
401,"I lost my cousin brother and left me as a beneficiary and investments retire account already notify them about the deceased familiar he do not have any other familiar, will or state assets just only that account do not know if I will need an attorney to help me fill a rights form I have it including the ones they will sent me also with the funeral expenses and other issues economically i do not have money or enough money to pay for an attorney unless have access to the funds","Wills & Trusts / General (Wills, Trusts, Estates)",primary audit,needs_change,needs_change,no,one_label_sufficient,Wills & Trusts / Probate,,"The issue is post-death administration/claiming assets (even if mainly a beneficiary designation), which aligns better with probate/estate administration than general estate planning (creating documents)."
402,"Interested in setting up a trust (or other similar options if advised to be better). Looking for description of what a trust is, how to set it up, and if it works for our situation. Want financial assets, real estate, and anything else owned to be in it. As well as wills & beneficiaries. Looking for advice on how to best go about all this, to take the burden off worrying about managing all of it and to make sure everything goes the way we would like.",Wills & Trusts / Living Trusts,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Living Trusts,,The request is specifically for creating a trust as a core estate planning tool to hold assets and reduce management burden; living trust is directly on point.
403,"I want to set up a transfer on death deed, but am reluctant as it seems my heir would not be able to sell the property for 18 months even if there were no debtors who might have a claim.","Wills & Trusts / General (Wills, Trusts, Estates)",primary audit,supported,needs_change,yes,one_label_sufficient,"Wills & Trusts / General (Wills, Trusts, Estates)",,"Problem is about a TOD deed (estate transfer tool) and timing/creditor issues, fitting general estate planning rather than living trusts."
404,"My elderly mother and her partner are in a senior care facility in Oregon. They both have dementia and have not signed over power of attorney. Medicaid pays for them to stay at the senior care facility. We have just received notice that their medicaid benefit will end because they have a house in their name. The jointly own the house (which is only worth the land and not in acceptable condition to sell as a dwelling so the value is only in the land it sits upon). They do not want to sell the house, but Medicaid is terminating their accounts in August because they own this asset. As children, we have no ability to sell their asset in order for them to continue on Medicaid. The mother and partner also refuse to sell because they have dementia and are not in their right mind to understand the consequences of this decision. If medicaid stops, will they be released on the street in this unfit condition to care for themselves? Is this legal in Oregon? What are the options as the son and daughter",Administrative Law / Medicare/Medicaid,two labels supported,supported,needs_change,yes,two_labels_supported,Administrative Law / Medicare/Medicaid,Wills & Trusts / Conservatorship/Guardianship,"Medicaid termination is supported, but the user also explicitly describes incapacity and lack of authority to sell/manage the house, creating a distinct guardianship/conservatorship need."
405,"Need some estate planning advice. I need to establish durable power of attorney for my parents, per their request.",Wills & Trusts / Power of Attorney,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Power of Attorney,,Direct request to create durable POA; label fits exactly.
406,Contested Guardianship for my 20 year old daughter.,Wills & Trusts / Conservatorship/Guardianship,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Conservatorship/Guardianship,,This is a guardianship dispute involving an adult child; conservatorship/guardianship is the correct taxonomy entry.
407,I need to find someone to help with a guardianship/conservatorship/elder law. I am a POA for my aging father and I am trying to understand what I can/cannot do in order to help him with his finances so he doesn't become homeless. He needs help but I need to find someone to work with to complete this process in the right and orderly way.,Wills & Trusts / Conservatorship/Guardianship,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Conservatorship/Guardianship,,They are pursuing legal authority/structure to manage an incapacitated elder’s affairs; this fits conservatorship/guardianship.
408,"My sister is the trustee of our grandma's living trust& my sister won't let me see a full copy of the trust. She showed me a few random pages & told me the rest of the pages of the trust are just legal jargon that I wouldn't understand. She says that my grandma left her in charge of everything & it's all hers. She gave me some money & informed me that I should be grateful that I'm getting anything because she didn't have to give me anything she gave it to me out of the kindness of her heart. She has gone on 3 cruise trips with her son& my brother & his family since our grandma's death in 2021, bought herself a brand new 2022 SUV. My brother claimed he's behind on his mortgage payments but Now my sister & brother are talking about purchasing a piece of land large enough for each of their families to have their own homes & property. I don't trust them& I need help. I'm listed in the trust as a beneficiary & as a backup trustee in the event my sister fails to do her duties as trustee.",Wills & Trusts / Litigation,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Litigation,,Core is a conflict over trust administration and trustee misconduct; litigation category is appropriate.
409,"I'm not even sure what kind of attorney I need. I am a successor co-trustee of my parents’ trust along with my older sister. My mother was our last parent to die in 2023, and we only have one disbursement we’re still trying to sort out and their house to get prepared to sell before we can dissolve the trust. Unfortunately, my sister and I have come to an impasse, and I would like to discuss the possible ways to proceed forward with an attorney. I have attempted negotiation and offered mediation to my sister for us to resolve our issues, but she seems very set on particular courses of action I don't agree with, essentially unwilling to truly negotiate or mediate. Issues include my perceived sense of her fiduciary negligence of the trust assets and her bias in favor of her son regarding the main trust asset (the home) that is costing the trust money and creating an untenable situation in other ways.",Wills & Trusts / Litigation,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Litigation,,Disagreement between co-trustees about trust asset management and fiduciary duties is a trust litigation matter.
410,Seeking guardianship of my great nephew. His mother is my niece. Not sure who the father is. He's been with us for the past 2 months. He's special needs. Mom is somewhat unstable at this time.,Family Law / Guardianship(minor),primary audit,supported,supported,yes,one_label_sufficient,Family Law / Guardianship(minor),,This is a request for court-ordered authority over a minor child; the current label fits.
411,"I and my brother were my Mother's POA's and I am on her banking accounts. I can write checks ect. My mother had dementia and lives alone in her own house. My siblings and I have suggested in home care, meals on wheels ect. My mother has denied all. I went over after calling her and she had moldy food, moldy dishes, her sink was full of putrid water, her car was no working because she had left the door open and drained the battery. On that day she asked if she should live at home anymore. I said no, not anymore. My siblings and I found an apartment in an independent living community, and chose an apartment. We took her to the apartment to see it and she discussed what furnishings and decorating ect. She was hesitant but feeling good my the end of the meal we had there. I have been informed that our POA's were replaced with a ""friend of my mothers"" and that my siblings and I are accused of elder abuse and stealing from her. I have no idea what to do?",Wills & Trusts / Elder Abuse,two labels supported,supported,supported,yes,two_labels_supported,Wills & Trusts / Elder Abuse,Wills & Trusts / Conservatorship/Guardianship,"Primary label is supported because the facts strongly suggest exploitation/undue influence. A separate, distinct need for guardianship/conservatorship is also supported by dementia, safety concerns, and contested authority."
412,Both grandparents have died and my aunt and her siblings have abandoned the family home so me and my niece where left 3 days to get everything out before the house was auctioned off nobody wanted anything to do with the house until we cleaned it out at which time a man had come by and told us about a surplus theat might accure long story short me and my niece cleaned out the house which was a feet within its self they were horders and now we would like to claim the surplus since nobody wanted any thing to do with the home.,Wills & Trusts / Probate,primary audit,needs_change,needs_change,no,one_label_sufficient,Real Property / Foreclosure,,"The problem centers on an auction and claiming a surplus from sale proceeds, not on administering the grandparents’ estates through probate (no mention of a will, personal representative, probate court, etc.). Best fit is real-property foreclosure/auction surplus rather than probate."
413,We need to file objection on a will that we believe was fraudulently created and executed.,Wills & Trusts / Litigation,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Litigation,,This is a direct will-contest scenario (fraudulent will) which squarely fits Wills & Trusts litigation.
